segmento,t_inicio,t_fin,a_x,b_x,c_x,d_x,a_y,b_y,c_y,d_y
613,0.25489379,0.25531029,-5186717.33469988,19068.12547356,76.51784222,1.39104275,651236292.82491052,-69768.62913681,-1376.23255756,34.78964090
614,0.25531029,0.25572678,-8810599.35927429,12587.42909534,89.70216316,1.42584485,-759882567.42939830,743937.69259364,-1095.44577561,34.25139724
615,0.25572678,0.25614327,-1974581.11711783,1578.76683886,95.60228642,1.46475214,1046196963.52884674,-205519.90935900,-871.19846898,33.86930019
616,0.25614327,0.25655977,-34175511.23920362,-888.43155821,95.88980632,1.50470104,-1681076893.06634784,1101681.62774481,-497.95327182,33.54638642
617,0.25655977,0.25697626,79311451.82940526,-43590.02827525,77.36483346,1.54201527,1338738409.17368460,-998789.29237148,-455.09932122,33.40864340
618,0.25697626,0.25739275,-91405590.66014965,55507.99566820,82.32858497,1.57240585,-875222938.16988885,673936.74991139,-590.39817273,33.14256181
619,0.25739275,0.25780925,94646205.39300032,-58701.40540654,80.99855176,1.60972008,643878043.27091515,-419636.26737713,-484.48376934,32.95033772
620,0.25780925,0.25822574,-95514525.49365027,59557.07696704,81.35493309,1.64011066,-555691447.59615612,384876.07323617,-498.96115132,32.72227937
621,0.25822574,0.25864223,95747191.16340737,-59786.35347068,81.25944100,1.67742489,485909075.69543874,-309448.93417263,-467.54626625,32.54108121
622,0.25864223,0.25905873,-95809533.74171114,59847.78792467,81.28502803,1.70781546,-398204415.56467921,297684.43820820,-472.44609797,32.32777814
623,0.25905873,0.25947522,95826238.38522531,-59864.24923699,81.27817200,1.74512970,301201516.66745764,-199863.76949446,-431.70446169,32.15387656
624,0.25947522,0.25989171,-95830714.38096353,59868.66003234,81.28000907,1.77552027,-276944635.79685968,176481.31588759,-441.44309293,31.96116603
625,0.25989171,0.26030820,95831913.72041759,-59869.84190140,81.27951683,1.81283450,299363105.08119303,-169555.29693649,-438.55845363,31.78791303
626,0.26030820,0.26072470,-95832235.08243839,59870.15858226,81.27964873,1.84322508,-260680824.78070426,204492.73107001,-424.00725241,31.59747255
627,0.26072470,0.26114119,95832321.19113691,-59870.24343662,81.27961338,1.88053931,213703178.73405126,-121222.58519077,-389.32580889,31.43751552
628,0.26114119,0.26155768,-95832344.26389237,59870.26617328,81.27962285,1.91092988,-196889128.67415595,145795.13084509,-379.09151249,31.26977548
629,0.26155768,0.26197418,95832350.44622970,-59870.27226557,81.27962032,1.94824412,204664441.81787151,-100213.77628631,-360.10719156,31.12295227
630,0.26197418,0.26239067,-95832352.10276651,59870.27389799,81.27962100,1.97863469,-235747424.05126160,155510.22431912,-337.07660096,30.97037289
631,0.26239067,0.26280716,95832352.54664034,-59870.27433538,81.27962081,2.01594892,186225145.21060425,-139051.32176743,-330.22158116,30.83992643
632,0.26280716,0.26322366,-95832352.66557531,59870.27445258,81.27962086,2.04633950,-145575036.11343661,93633.15787928,-349.13793430,30.69172498
633,0.26322366,0.26364015,95832352.69745439,-59870.27448400,81.27962085,2.08365373,153689585.45822304,-88259.84850986,-346.89998787,30.55203620
634,0.26364015,0.26405664,-95832352.70598666,59870.27449241,81.27962085,2.11404431,-128048278.91143258,103772.11999271,-340.43923340,30.40334831
635,0.26405664,0.26447314,95832352.70829883,-59870.27449466,81.27962085,2.15135854,104896569.46829142,-56221.56461133,-320.63475386,30.27030752
636,0.26447314,0.26488963,-95832352.70898814,59870.27449529,81.27962085,2.18174911,-125459104.33112128,74844.53634862,-312.87841411,30.13459132
637,0.26488963,0.26530612,95832352.70944853,-59870.27449554,81.27962085,2.21906335,132111340.20230880,-81914.02799681,-315.82280880,30.00819851
638,0.26530612,0.26572262,-95832352.71054959,59870.27449586,81.27962085,2.24945392,-84294323.53882201,83156.36792445,-315.30538275,29.87199587
639,0.26572262,0.26613911,95832352.71455035,-59870.27449691,81.27962085,2.28676815,100705567.46202187,-22167.65149099,-289.90400148,29.74900812
640,0.26613911,0.26655560,-95832352.72941999,59870.27450085,81.27962085,2.31715873,-163670598.61289743,103661.87886554,-255.96221582,29.63169549
641,0.26655560,0.26697209,95832352.78491153,-59870.27451551,81.27962085,2.35447296,117458651.23816299,-100841.15980114,-254.78740571,29.53124604
642,0.26697209,0.26738859,-95832352.99195783,59870.27457018,81.27962087,2.38486353,-75000139.48955283,45921.00334525,-277.66127346,29.41612238
643,0.26738859,0.26780508,95832353.76472643,-59870.27477421,81.27962079,2.42217777,66959973.29465675,-47790.12471333,-278.43974966,29.30302554
644,0.26780508,0.26822157,-95832356.64874639,59870.27553572,81.27962110,2.45256834,-60425499.86164462,35874.98144408,-283.40232495,29.18360501
645,0.26822157,0.26863807,95832367.41206589,-59870.27837775,81.27961992,2.48988257,47938545.79211939,-39625.43487618,-284.96436303,29.06742740
646,0.26863807,0.26905456,-95832407.58124864,59870.28898427,81.27962434,2.52027315,-10135976.41459995,20272.78977037,-293.02460673,28.94533146
647,0.26905456,0.26947105,95832557.49471737,-59870.32856832,81.27960785,2.55758738,26270000.66961734,7608.09620777,-281.41240932,28.82607308
648,0.26947105,0.26988755,-95833116.97939417,59870.47629804,81.27966938,2.58797795,-61279385.46004059,40431.92045135,-261.40407252,28.71208444
649,0.26988755,0.27030404,95835205.00464800,-59871.02763290,81.27943975,2.62529219,80822513.87627718,-36135.40832004,-259.61460474,28.60579773
650,0.27030404,0.27072053,-95842997.62092333,59873.08524255,81.28029673,2.65568276,-64511443.99830706,64850.65649830,-247.65490121,28.49724098
651,0.27072053,0.27113703,95872080.06083311,-59880.76434628,81.27709844,2.69299699,39198234.82282954,-15755.06278322,-227.20692382,28.40068304
652,0.27113703,0.27155352,-95980617.20418951,59909.42315162,81.28903463,2.72338757,-58616854.48944177,33222.32350103,-219.93192977,28.30615192
653,0.27155352,0.27197001,96385683.33772567,-60016.37926927,81.24448815,2.76070180,57244155.84095600,-40018.22771444,-222.76237717,28.21607982
654,0.27197001,0.27238651,-97897410.72844477,60415.54493447,81.41073790,2.79109238,-60388608.91666152,31507.16483986,-226.30717637,28.12049475
655,0.27238651,0.27280300,103539254.15784273,-61905.25147759,80.79028536,2.82840661,35063705.59698269,-43947.15700520,-231.48834762,28.02734187
656,0.27280300,0.27321949,-124594900.48470069,67464.91198493,83.10584576,2.85879718,18883399.55253388,-135.77974950,-249.84858783,27.92583847
657,0.27321949,0.27363599,137025876.77593267,-88213.84747118,74.46405672,2.89611142,-11847690.78384122,23458.63868349,-240.13477736,27.82311898
658,0.27363599,0.27405248,-110569330.95825531,82997.16057872,72.29134248,2.92172283,-33211144.55688925,8655.19330593,-226.75958703,27.72631782
659,0.27405248,0.27446897,105106002.46111564,-55156.93891098,83.88660348,2.95824053,6667241.71719597,-32841.44712334,-236.83299553,27.63097597
660,0.27446897,0.27488546,-126670712.64580357,76170.84425575,92.63875065,2.99120450,40206818.49193329,-24510.86605229,-260.71983984,27.52712145
661,0.27488546,0.27530196,135281637.93926072,-82101.59969986,90.16863176,3.03384934,-46301808.79287685,25726.72473313,-260.21344305,27.41718646
662,0.27530196,0.27571845,-109997302.62823968,86930.01788356,92.17963475,3.06693585,18196936.32018258,-32126.43077650,-262.87887664,27.30992688
663,0.27571845,0.27613494,96081388.79992418,-50509.34400096,107.34859514,3.11246044,18400251.24963852,-9389.73399993,-280.17007396,27.19618146
664,0.27613494,0.27655144,-99625025.50887766,69542.37045124,115.27571986,3.15535036,-46911753.58024362,13601.00058937,-278.41611037,27.07919312
665,0.27655144,0.27696793,93792529.46178764,-54937.04501175,121.35873753,3.20822751,42443282.71148069,-45014.26835721,-291.49952052,26.96220478
666,0.27696793,0.27738442,-100841865.27559951,62254.78688553,124.40652673,3.25601914,-1668670.37334980,8017.73836268,-306.90832102,26.83605519
667,0.27738442,0.27780092,100948747.86684258,-63745.04477911,123.78584456,3.31134714,-2103960.41482159,5932.76913317,-301.09803051,26.70950024
668,0.27780092,0.27821741,-128249899.12921228,62388.33447974,123.22078405,3.35913877,43749152.83643640,3303.91397096,-297.25101548,26.58497211
669,0.27821741,0.27863390,137274899.28940523,-97857.27042974,108.44821597,3.41201592,-51699944.03867646,57967.57848962,-271.73185993,26.46490299
670,0.27863390,0.27905040,-124871900.72322139,73664.88611680,98.37225416,3.45012668,36247142.95848304,-6630.43571947,-250.35029277,26.35804878
671,0.27905040,0.27946689,145105780.65189591,-82359.97942659,94.75080755,3.49485474,-48402440.05733391,38659.62212120,-237.01035674,26.25524821
672,0.27946689,0.27988338,-159573424.57919112,98946.70193769,101.65906349,3.53051465,30559136.91148645,-21818.22884589,-229.99603218,26.15974421
673,0.27988338,0.28029988,152262202.71740061,-100437.00224289,101.03836365,3.57849009,-36803002.70500959,16364.78270532,-232.26735502,26.06237554
674,0.28029988,0.28071637,-153497588.98520577,89811.48095253,96.61290705,3.61415000,66155912.70344328,-29619.81042880,-237.78798297,25.96581760
675,0.28071637,0.28113286,178471464.68499026,-101980.59191529,91.54455597,3.65887806,-106627941.21661530,53040.63859675,-228.03336899,25.86642210
676,0.28113286,0.28154935,-143135902.20702285,121015.82376773,99.47259922,3.69220966,61862703.70616321,-80188.77566807,-239.34038152,25.77294493
677,0.28154935,0.28196585,110815455.60467501,-57829.53509153,125.78925423,3.74429028,-19630166.71578312,-2892.60277407,-273.94320469,25.66382067
678,0.28196585,0.28238234,-133903432.32681462,80632.09206967,135.28636251,3.79465530,50322603.96035819,-27420.09138188,-286.56823349,25.54780520
679,0.28238234,0.28279883,141541585.16418421,-86677.48601466,132.76849747,3.85531391,-60467542.23358610,35456.96479517,-283.22093095,25.42733072
680,0.28279883,0.28321533,-144765850.20259616,90175.80656865,134.22552394,3.90580147,64744084.61492931,-40095.98260206,-285.15304998,25.31115311
681,0.28321533,0.28363182,145784387.92997074,-90706.13870741,134.00464425,3.96688898,-66094542.39960639,40800.41633372,-284.85965818,25.19011112
682,0.28363182,0.28404831,-159355382.56766850,91448.44846041,134.31381116,4.01749909,84052151.55836996,-41783.35176242,-285.26904403,25.07377136
683,0.28404831,0.28446481,191418975.44672471,-107662.81672202,127.56063821,4.07779007,-126478263.07278781,63238.07875616,-276.33329767,24.95378332
684,0.28446481,0.28488130,-206029630.02715749,131511.24672659,137.49334542,4.12607187,145810846.14496377,-94793.90342556,-289.47608179,24.84052434
685,0.28488130,0.28529779,200181846.59421533,-125918.52840106,139.82267417,4.19126455,-138073188.56808627,87393.74273641,-292.55819787,24.71405046
686,0.28529779,0.28571429,-202887606.33525497,124204.56188743,139.10881889,4.24211974,141653400.47351998,-85125.85980598,-291.61364021,24.59738641
687,0.28571429,0.28613078,228039167.90990543,-129299.31941441,136.98688739,4.30694480,-174933452.60630333,91867.14370111,-288.80594179,24.47139897
